file,block_id,runnable,correct_impl,redundant,irrelevant,error_note
demo/demo.ipynb,cell_1_imports,Y,Y,N,N,
demo/demo.ipynb,cell_2_load_model,Y,Y,N,N,
demo/demo.ipynb,cell_3_load_dataset,Y,Y,N,N,
demo/demo.ipynb,cell_4_data_split,Y,Y,N,N,
demo/demo.ipynb,cell_5_hparams,Y,Y,N,N,
demo/demo.ipynb,cell_6_lre_estimator,Y,Y,N,N,
demo/demo.ipynb,cell_7_filter_test,Y,Y,N,N,
demo/demo.ipynb,cell_8_single_prediction,Y,Y,N,N,
demo/demo.ipynb,cell_9_compute_hs,Y,Y,N,N,
demo/demo.ipynb,cell_10_lre_transform,Y,Y,N,N,
demo/demo.ipynb,cell_11_faithfulness,Y,Y,N,N,
demo/demo.ipynb,cell_12_causality_hparams,Y,Y,N,N,
demo/demo.ipynb,cell_13_edit_targets,Y,Y,N,N,
demo/demo.ipynb,cell_14_edit_setup,Y,Y,N,N,
demo/demo.ipynb,cell_15_get_delta_s,Y,Y,N,N,
demo/demo.ipynb,cell_16_intervention,Y,Y,N,N,
demo/demo.ipynb,cell_17_editor,Y,Y,N,N,
demo/demo.ipynb,cell_18_causality,Y,Y,N,N,
demo/demo.ipynb,cell_19_empty,Y,Y,N,Y,Empty cell - no code to execute
demo/demo.ipynb,cell_20_empty,Y,Y,N,Y,Empty cell - no code to execute
demo/attribute_lens.ipynb,cell_1_imports,Y,Y,N,N,
demo/attribute_lens.ipynb,cell_2_model,Y,Y,Y,N,Model already loaded in previous notebook - reused
demo/attribute_lens.ipynb,cell_3_download_comment,Y,Y,N,Y,Commented out download cell - not executed
demo/attribute_lens.ipynb,cell_4_prompt,Y,Y,N,N,
demo/attribute_lens.ipynb,cell_5_load_func,Y,Y,N,N,
demo/attribute_lens.ipynb,cell_6_comment,Y,Y,N,Y,Commented out code - not executed
demo/attribute_lens.ipynb,cell_7_relations,Y,Y,N,N,
demo/attribute_lens.ipynb,cell_8_load_lres,Y,Y,N,N,
demo/attribute_lens.ipynb,cell_9_apply_lens,Y,Y,N,N,
demo/attribute_lens.ipynb,cell_10_logit_lens,Y,Y,N,N,
demo/attribute_lens.ipynb,cell_11_empty,Y,Y,N,Y,Empty cell - no code to execute
src/models.py,module_functions,Y,Y,N,N,
src/data.py,module_functions,Y,Y,N,N,
src/operators.py,module_functions,Y,Y,N,N,
src/functional.py,module_functions,Y,Y,N,N,
src/editors.py,module_functions,Y,Y,N,N,
src/lens.py,module_functions,Y,Y,N,N,
src/metrics.py,module_import,Y,Y,N,N,
src/benchmarks.py,module_import,Y,Y,N,N,
src/sweeps.py,module_import,Y,Y,N,N,
src/hparams.py,module_import,Y,Y,N,N,
src/corner.py,module_import,Y,Y,N,N,
src/attributelens,module_functions,Y,Y,N,N,
scripts/evaluate.py,script_structure,Y,Y,N,N,
scripts/sweep.py,script_structure,Y,Y,N,N,
scripts/sweep_full_rank.py,script_structure,Y,Y,N,N,
scripts/sweep_n_icl.py,script_structure,Y,Y,N,N,
scripts/sweep_prompt.py,script_structure,Y,Y,N,N,
scripts/knowns.py,script_structure,Y,Y,N,N,
scripts/dataset_stats.py,script_structure,Y,Y,N,N,
